Date,Open,High,Low,Close,Adj Close,Volume
05-08-2020,250.190002,252.270004,247.770004,249.119995,248.855957,13050100
30-06-2020,220.589996,227.5,218.470001,227.070007,226.829346,33927100
16-08-2023,300.200012,301.079987,294.279999,294.290009,293.978088,18547700
12-10-2023,328.0,330.540009,322.690002,324.160004,323.816437,20530500
22-08-2022,165.490005,165.490005,162.259995,163.050003,162.877182,19499700
16-03-2020,152.320007,159.130005,143.100006,146.009995,145.85524,39120400
27-05-2021,328.0,333.779999,326.76001,332.75,332.397308,20477700
01-03-2024,492.109985,504.25,491.850006,502.299988,502.299988,16273600
27-07-2020,231.460007,234.949997,230.830002,233.5,233.252518,13163100
11-11-2021,329.820007,332.459991,327.0,327.73999,327.392609,12376600
05-08-2022,166.990005,171.610001,165.800003,167.110001,166.932877,25832700
03-08-2021,352.730011,353.769989,347.700012,351.23999,350.867706,12406100
11-10-2023,323.01001,328.839996,322.950012,327.820007,327.472565,22036300
12-04-2021,311.049988,312.149994,307.929993,311.540009,311.209808,10881900
30-01-2020,206.529999,211.429993,204.75,209.529999,209.307922,48775500
21-09-2023,295.700012,300.26001,293.269989,295.730011,295.416565,21300500
22-08-2023,292.549988,292.899994,286.75,287.600006,287.295197,12999900
20-09-2023,305.049988,308.059998,299.429993,299.670013,299.352386,19379500
13-08-2021,362.970001,364.660004,361.480011,363.179993,362.795074,7195700
17-02-2022,214.020004,217.5,207.160004,207.710007,207.489853,38747500
08-09-2023,299.220001,305.25,296.779999,297.890015,297.57428,17548000
15-11-2022,116.07,118.739998,114.410004,117.080002,116.95591,50670500
27-02-2020,191.820007,195.880005,189.5,189.75,189.548889,21682600
11-09-2020,270.059998,271.390015,262.640015,266.609985,266.327423,18913900
21-12-2020,272.980011,274.670013,267.790009,272.790009,272.500885,16553700
24-10-2023,316.779999,318.350006,310.630005,312.549988,312.218719,19525500
27-03-2023,204.809998,205.860001,201.360001,202.839996,202.625015,18527200
26-06-2023,288.700012,289.790009,277.600006,278.470001,278.174866,24232700
13-12-2023,333.929993,338.369995,332.640015,334.73999,334.385193,16353300
12-08-2020,258.970001,263.899994,258.109985,259.890015,259.614563,21415700
15-07-2022,160.539993,164.979996,159.820007,164.699997,164.525436,23342800
18-08-2022,174.339996,175.759995,171.860001,174.660004,174.474884,18844500
23-02-2021,259.5,267.459991,254.960007,265.859985,265.578217,21924600
27-06-2022,171.320007,171.75,168.009995,169.490005,169.310364,29174600
21-09-2022,146.389999,149.600006,142.0,142.119995,141.96936,38338600
18-04-2024,499.820007,512.210022,499.040009,501.799988,501.799988,14808700
05-04-2022,234.080002,236.860001,231.020004,231.839996,231.594269,29727200
08-06-2023,260.619995,267.649994,258.880005,264.579987,264.299561,20899400
28-01-2020,216.139999,218.740005,213.520004,217.789993,217.559158,13413800
06-07-2020,233.759995,240.399994,232.270004,240.279999,240.02533,26206200
14-04-2021,307.299988,308.029999,301.950012,302.820007,302.499054,17421400
06-01-2021,262.0,267.75,260.01001,263.309998,263.030914,24354100
17-01-2023,136.179993,136.75,134.25,135.360001,135.216537,21147600
08-04-2024,529.280029,531.48999,518.890015,519.25,519.25,13260600
02-10-2020,261.209991,265.149994,259.179993,259.940002,259.66449,16367600
17-06-2020,235.0,237.589996,231.729996,235.529999,235.280365,19578100
01-04-2024,487.200012,497.429993,481.779999,491.350006,491.350006,9247000
09-11-2022,101.720001,104.900002,100.739998,101.470001,101.362457,107677300
27-05-2022,191.360001,195.330002,189.800003,195.130005,194.923187,22562700
18-09-2020,258.399994,259.200012,250.050003,252.529999,252.262344,28130800
15-03-2021,269.079987,275.959991,268.5,273.75,273.459869,16844800
05-07-2023,287.649994,298.119995,286.359985,294.369995,294.057983,33865500
18-04-2023,219.910004,220.440002,216.210007,217.889999,217.659058,12281000
05-05-2023,232.240005,234.679993,229.850006,232.779999,232.533279,26978900
02-03-2023,172.380005,175.009995,171.429993,174.529999,174.345016,17352000
09-02-2024,472.950012,473.589996,467.470001,468.109985,467.613831,18413100
20-01-2022,323.899994,327.820007,315.980011,316.559998,316.224487,16925000
24-06-2021,341.850006,344.899994,341.790009,343.179993,342.816254,12329100
09-03-2020,169.600006,175.0,165.190002,169.5,169.320343,29949000
19-11-2021,342.200012,352.100006,339.899994,345.299988,344.934021,26488500
17-08-2020,262.5,264.100006,259.399994,261.160004,260.883209,13351100
09-06-2023,262.480011,267.950012,261.700012,264.950012,264.669189,16938500
04-09-2020,287.25,289.0,271.140015,282.730011,282.430359,30333700
27-01-2020,213.100006,216.059998,212.5,214.869995,214.642258,13810700
11-01-2022,326.779999,334.630005,325.279999,334.369995,334.015594,16226800
12-03-2020,159.539993,166.600006,154.339996,154.470001,154.306274,43266300
05-10-2020,262.200012,264.869995,260.839996,264.649994,264.369507,12822300
14-11-2023,334.540009,338.100006,333.329987,336.309998,335.953552,17179400
18-01-2022,323.290009,324.209991,317.640015,318.149994,317.812805,22645600
29-01-2024,394.98999,402.929993,393.100006,401.019989,400.59494,18742400
25-08-2023,286.130005,288.390015,276.029999,285.5,285.197388,23701400
26-11-2021,335.799988,337.75,331.899994,333.119995,332.766937,14750700
17-02-2021,271.23999,273.970001,269.579987,273.570007,273.28006,12763200
26-04-2023,212.5,214.110001,208.880005,209.399994,209.178055,41992700
11-01-2023,130.960007,133.850006,130.339996,132.889999,132.749146,25423000
20-11-2020,272.559998,273.0,269.410004,269.700012,269.414154,18114700
10-02-2020,211.520004,213.800003,210.660004,213.059998,212.834183,11856400
10-08-2023,307.940002,312.339996,303.869995,305.73999,305.415955,14358900
27-09-2021,349.809998,355.149994,347.079987,353.579987,353.205231,15205800
21-03-2024,514.710022,515.039978,506.01001,507.76001,507.76001,9712500
14-06-2021,331.899994,336.820007,329.809998,336.769989,336.413055,12250800
27-11-2020,277.390015,279.130005,274.820007,277.809998,277.515564,7808400
26-02-2020,197.190002,201.210007,195.490005,197.199997,196.990982,16524500
29-08-2022,160.660004,163.050003,159.009995,159.169998,159.001297,20052700
21-12-2022,116.699997,120.339996,115.620003,119.760002,119.633072,20392800
09-04-2024,522.22998,525.869995,506.73999,516.900024,516.900024,10881400
28-06-2021,342.459991,358.140015,341.769989,355.640015,355.263062,29156100
10-11-2021,332.48999,333.190002,325.51001,327.640015,327.292755,21872600
10-04-2024,509.290009,522.559998,505.799988,519.830017,519.830017,11418500
23-09-2022,141.419998,142.619995,138.889999,140.410004,140.261185,31710700
30-11-2023,331.890015,333.5,322.399994,327.149994,326.803253,23146400
31-03-2023,207.240005,212.169998,206.770004,211.940002,211.715363,25440300
